"STATION","DATE","TMAX"
"USW00023174","2010-01-01","  206"
"USW00023174","2010-01-02","  244"
"USW00023174","2010-01-03","  267"
"USW00023174","2010-01-04","  239"
"USW00023174","2010-01-05","  244"
"USW00023174","2010-01-06","  228"
"USW00023174","2010-01-07","  194"
"USW00023174","2010-01-08","  250"
"USW00023174","2010-01-09","  239"
"USW00023174","2010-01-10","  233"
"USW00023174","2010-01-11","  250"
"USW00023174","2010-01-12","  189"
"USW00023174","2010-01-13","  172"
"USW00023174","2010-01-14","  217"
"USW00023174","2010-01-15","  228"
"USW00023174","2010-01-16","  200"
"USW00023174","2010-01-17","  172"
"USW00023174","2010-01-18","  167"
"USW00023174","2010-01-19","  150"
"USW00023174","2010-01-20","  144"
"USW00023174","2010-01-21","  144"
"USW00023174","2010-01-22","  122"
"USW00023174","2010-01-23","  144"
"USW00023174","2010-01-24","  156"
"USW00023174","2010-01-25","  178"
"USW00023174","2010-01-26","  144"
"USW00023174","2010-01-27","  189"
"USW00023174","2010-01-28","  194"
"USW00023174","2010-01-29","  178"
"USW00023174","2010-01-30","  150"
"USW00023174","2010-01-31","  167"
"USW00023174","2010-02-01","  178"
"USW00023174","2010-02-02","  161"
"USW00023174","2010-02-03","  183"
"USW00023174","2010-02-04","  172"
"USW00023174","2010-02-05","  133"
"USW00023174","2010-02-06","  150"
"USW00023174","2010-02-07","  156"
"USW00023174","2010-02-08","  156"
"USW00023174","2010-02-09","  139"
"USW00023174","2010-02-10","  167"
"USW00023174","2010-02-11","  167"
"USW00023174","2010-02-12","  167"
"USW00023174","2010-02-13","  200"
"USW00023174","2010-02-14","  250"
"USW00023174","2010-02-15","  261"
"USW00023174","2010-02-16","  267"
"USW00023174","2010-02-17","  239"
"USW00023174","2010-02-18","  167"
"USW00023174","2010-02-19","  156"
"USW00023174","2010-02-20","  156"
"USW00023174","2010-02-21","  167"
"USW00023174","2010-02-22","  211"
"USW00023174","2010-02-23","  183"
"USW00023174","2010-02-24","  167"
"USW00023174","2010-02-25","  183"
"USW00023174","2010-02-26","  217"
"USW00023174","2010-02-27","  161"
"USW00023174","2010-02-28","  172"
"USW00023174","2010-03-01","  183"
"USW00023174","2010-03-02","  172"
"USW00023174","2010-03-03","  167"
"USW00023174","2010-03-04","  156"
"USW00023174","2010-03-05","  178"
"USW00023174","2010-03-06","  161"
"USW00023174","2010-03-07","  172"
"USW00023174","2010-03-08","  161"
"USW00023174","2010-03-09","  156"
"USW00023174","2010-03-10","  161"
"USW00023174","2010-03-11","  178"
"USW00023174","2010-03-12","  183"
"USW00023174","2010-03-13","  156"
"USW00023174","2010-03-14","  183"
"USW00023174","2010-03-15","  244"
"USW00023174","2010-03-16","  294"
"USW00023174","2010-03-17","  283"
"USW00023174","2010-03-18","  222"
"USW00023174","2010-03-19","  206"
"USW00023174","2010-03-20","  239"
"USW00023174","2010-03-21","  206"
"USW00023174","2010-03-22","  178"
"USW00023174","2010-03-23","  189"
"USW00023174","2010-03-24","  206"
"USW00023174","2010-03-25","  167"
"USW00023174","2010-03-26","  200"
"USW00023174","2010-03-27","  278"
"USW00023174","2010-03-28","  272"
"USW00023174","2010-03-29","  222"
"USW00023174","2010-03-30","  178"
"USW00023174","2010-03-31","  167"
"USW00023174","2010-04-01","  150"
"USW00023174","2010-04-02","  172"
"USW00023174","2010-04-03","  178"
"USW00023174","2010-04-04","  161"
"USW00023174","2010-04-05","  167"
"USW00023174","2010-04-06","  189"
"USW00023174","2010-04-07","  250"
"USW00023174","2010-04-08","  261"
"USW00023174","2010-04-09","  217"
"USW00023174","2010-04-10","  167"
"USW00023174","2010-04-11","  172"
"USW00023174","2010-04-12","  161"
"USW00023174","2010-04-13","  167"
"USW00023174","2010-04-14","  178"
"USW00023174","2010-04-15","  183"
"USW00023174","2010-04-16","  178"
"USW00023174","2010-04-17","  206"
"USW00023174","2010-04-18","  194"
"USW00023174","2010-04-19","  189"
"USW00023174","2010-04-20","  183"
"USW00023174","2010-04-21","  161"
"USW00023174","2010-04-22","  150"
"USW00023174","2010-04-23","  172"
"USW00023174","2010-04-24","  178"
"USW00023174","2010-04-25","  172"
"USW00023174","2010-04-26","  161"
"USW00023174","2010-04-27","  161"
