STATION,DATE,TMAX,city
USW00023174,1980-01-01,217,Los Angeles (LAX)
USW00023174,1980-01-02,261,Los Angeles (LAX)
USW00023174,1980-01-03,256,Los Angeles (LAX)
USW00023174,1980-01-04,222,Los Angeles (LAX)
USW00023174,1980-01-05,200,Los Angeles (LAX)
USW00023174,1980-01-06,178,Los Angeles (LAX)
USW00023174,1980-01-07,172,Los Angeles (LAX)
USW00023174,1980-01-08,183,Los Angeles (LAX)
USW00023174,1980-01-09,167,Los Angeles (LAX)
USW00023174,1980-01-10,167,Los Angeles (LAX)
USW00023174,1980-01-11,189,Los Angeles (LAX)
USW00023174,1980-01-12,194,Los Angeles (LAX)
USW00023174,1980-01-13,183,Los Angeles (LAX)
USW00023174,1980-01-14,172,Los Angeles (LAX)
USW00023174,1980-01-15,178,Los Angeles (LAX)
USW00023174,1980-01-16,167,Los Angeles (LAX)
USW00023174,1980-01-17,167,Los Angeles (LAX)
USW00023174,1980-01-18,161,Los Angeles (LAX)
USW00023174,1980-01-19,156,Los Angeles (LAX)
USW00023174,1980-01-20,189,Los Angeles (LAX)
USW00023174,1980-01-21,200,Los Angeles (LAX)
USW00023174,1980-01-22,222,Los Angeles (LAX)
USW00023174,1980-01-23,217,Los Angeles (LAX)
USW00023174,1980-01-24,217,Los Angeles (LAX)
USW00023174,1980-01-25,172,Los Angeles (LAX)
USW00023174,1980-01-26,167,Los Angeles (LAX)
USW00023174,1980-01-27,172,Los Angeles (LAX)
USW00023174,1980-01-28,167,Los Angeles (LAX)
USW00023174,1980-01-29,167,Los Angeles (LAX)
USW00023174,1980-01-30,206,Los Angeles (LAX)
USW00023174,1980-01-31,233,Los Angeles (LAX)
USW00023174,1980-02-01,244,Los Angeles (LAX)
USW00023174,1980-02-02,228,Los Angeles (LAX)
USW00023174,1980-02-03,239,Los Angeles (LAX)
USW00023174,1980-02-04,233,Los Angeles (LAX)
USW00023174,1980-02-05,200,Los Angeles (LAX)
USW00023174,1980-02-06,267,Los Angeles (LAX)
USW00023174,1980-02-07,211,Los Angeles (LAX)
USW00023174,1980-02-08,206,Los Angeles (LAX)
USW00023174,1980-02-09,222,Los Angeles (LAX)
USW00023174,1980-02-10,200,Los Angeles (LAX)
USW00023174,1980-02-11,178,Los Angeles (LAX)
USW00023174,1980-02-12,211,Los Angeles (LAX)
USW00023174,1980-02-13,178,Los Angeles (LAX)
USW00023174,1980-02-14,183,Los Angeles (LAX)
USW00023174,1980-02-15,189,Los Angeles (LAX)
USW00023174,1980-02-16,172,Los Angeles (LAX)
USW00023174,1980-02-17,200,Los Angeles (LAX)
USW00023174,1980-02-18,183,Los Angeles (LAX)
USW00023174,1980-02-19,183,Los Angeles (LAX)
USW00023174,1980-02-20,161,Los Angeles (LAX)
USW00023174,1980-02-21,178,Los Angeles (LAX)
USW00023174,1980-02-22,167,Los Angeles (LAX)
USW00023174,1980-02-23,178,Los Angeles (LAX)
USW00023174,1980-02-24,200,Los Angeles (LAX)
USW00023174,1980-02-25,244,Los Angeles (LAX)
USW00023174,1980-02-26,283,Los Angeles (LAX)
USW00023174,1980-02-27,244,Los Angeles (LAX)
USW00023174,1980-02-28,178,Los Angeles (LAX)
USW00023174,1980-02-29,194,Los Angeles (LAX)
USW00023174,1980-03-01,178,Los Angeles (LAX)
USW00023174,1980-03-02,167,Los Angeles (LAX)
USW00023174,1980-03-03,167,Los Angeles (LAX)
USW00023174,1980-03-04,178,Los Angeles (LAX)
USW00023174,1980-03-05,161,Los Angeles (LAX)
USW00023174,1980-03-06,156,Los Angeles (LAX)
USW00023174,1980-03-07,156,Los Angeles (LAX)
USW00023174,1980-03-08,172,Los Angeles (LAX)
USW00023174,1980-03-09,228,Los Angeles (LAX)
USW00023174,1980-03-10,172,Los Angeles (LAX)
USW00023174,1980-03-11,178,Los Angeles (LAX)
USW00023174,1980-03-12,194,Los Angeles (LAX)
USW00023174,1980-03-13,194,Los Angeles (LAX)
USW00023174,1980-03-14,200,Los Angeles (LAX)
USW00023174,1980-03-15,183,Los Angeles (LAX)
USW00023174,1980-03-16,211,Los Angeles (LAX)
USW00023174,1980-03-17,233,Los Angeles (LAX)
USW00023174,1980-03-18,172,Los Angeles (LAX)
USW00023174,1980-03-19,194,Los Angeles (LAX)
USW00023174,1980-03-20,189,Los Angeles (LAX)
USW00023174,1980-03-21,156,Los Angeles (LAX)
USW00023174,1980-03-22,183,Los Angeles (LAX)
USW00023174,1980-03-23,178,Los Angeles (LAX)
USW00023174,1980-03-24,161,Los Angeles (LAX)
USW00023174,1980-03-25,183,Los Angeles (LAX)
USW00023174,1980-03-26,178,Los Angeles (LAX)
USW00023174,1980-03-27,178,Los Angeles (LAX)
USW00023174,1980-03-28,206,Los Angeles (LAX)
USW00023174,1980-03-29,233,Los Angeles (LAX)
USW00023174,1980-03-30,194,Los Angeles (LAX)
USW00023174,1980-03-31,189,Los Angeles (LAX)
USW00023174,1980-04-01,167,Los Angeles (LAX)
USW00023174,1980-04-02,161,Los Angeles (LAX)
USW00023174,1980-04-03,167,Los Angeles (LAX)
USW00023174,1980-04-04,167,Los Angeles (LAX)
USW00023174,1980-04-05,178,Los Angeles (LAX)
USW00023174,1980-04-06,194,Los Angeles (LAX)
USW00023174,1980-04-07,206,Los Angeles (LAX)
USW00023174,1980-04-08,278,Los Angeles (LAX)
USW00023174,1980-04-09,228,Los Angeles (LAX)
USW00023174,1980-04-10,217,Los Angeles (LAX)
USW00023174,1980-04-11,294,Los Angeles (LAX)
USW00023174,1980-04-12,256,Los Angeles (LAX)
USW00023174,1980-04-13,289,Los Angeles (LAX)
USW00023174,1980-04-14,217,Los Angeles (LAX)
USW00023174,1980-04-15,206,Los Angeles (LAX)
USW00023174,1980-04-16,222,Los Angeles (LAX)
USW00023174,1980-04-17,178,Los Angeles (LAX)
USW00023174,1980-04-18,206,Los Angeles (LAX)
USW00023174,1980-04-19,211,Los Angeles (LAX)
USW00023174,1980-04-20,200,Los Angeles (LAX)
USW00023174,1980-04-21,161,Los Angeles (LAX)
USW00023174,1980-04-22,144,Los Angeles (LAX)
USW00023174,1980-04-23,161,Los Angeles (LAX)
USW00023174,1980-04-24,172,Los Angeles (LAX)
USW00023174,1980-04-25,183,Los Angeles (LAX)
USW00023174,1980-04-26,178,Los Angeles (LAX)
